[2025-05-29 16:47:39] IP: 92.63.197.236 → Porta: 139 ⏳ NOVA
[2025-05-30 11:48:01] IP: 35.201.238.124 → Porta: 139 ⏳ NOVA
[2025-05-31 09:55:03] IP: 34.169.21.209 → Porta: 139 ⏳ NOVA
[2025-06-01 09:58:52] IP: 34.88.187.63 → Porta: 139 ⏳ NOVA
[2025-06-01 12:39:07] IP: 118.99.102.155 → Porta: 139 ⏳ NOVA
[2025-06-01 12:39:07] IP: 118.99.102.155 → Porta: 139 ⏳ NOVA
[2025-06-01 12:39:11] IP: 118.99.102.155 → Porta: 139 ⏳ NOVA
[2025-06-01 12:39:11] IP: 118.99.102.155 → Porta: 139 ⏳ NOVA
[2025-06-01 12:39:19] IP: 118.99.102.155 → Porta: 139 ⏳ NOVA
[2025-06-01 12:39:19] IP: 118.99.102.155 → Porta: 139 ⏳ NOVA
[2025-06-01 20:22:17] IP: 34.88.187.63 → Porta: 139 ⏳ NOVA
[2025-06-02 13:43:52] IP: 157.230.88.253 → Porta: 139 ⏳ NOVA
[2025-06-02 13:47:27] IP: 83.222.191.178 → Porta: 139 ⏳ NOVA
