[2025-05-18 17:31:07] IP: 20.106.17.55 → Porta: 5060 ❌ BLOQUEADA
[2025-05-19 12:47:32] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
[2025-05-19 12:52:42] IP: 162.142.125.89 → Porta: 5060 ⏳ NOVA
[2025-05-19 15:02:37] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
[2025-05-19 17:18:40] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
[2025-05-19 19:33:57] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
[2025-05-20 06:03:54] IP: 104.156.155.13 → Porta: 5060 ⏳ NOVA
[2025-05-20 06:09:03] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
[2025-05-20 08:21:32] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
[2025-05-20 10:36:53] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
[2025-05-20 13:00:52] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
[2025-05-20 15:18:58] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
[2025-05-20 17:35:52] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
[2025-05-20 19:21:13] IP: 93.123.109.125 → Porta: 5060 ⏳ NOVA
[2025-05-20 19:57:43] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
[2025-05-20 22:13:08] IP: 185.224.128.23 → Porta: 5060 ⏳ NOVA
